Afghano
Afghana
Australiano
Australiana
Brasiliano
Brasiliana
Nord coreano
Sud coreano
Nord coreana
Sud coreana
Colombiano
Colombiana
Cubano
Cubana
Egiziano
Egiziana
Israeliano
Israeliana
Italiano
Italiana
Lituano
Lituana
Messicano
Messicana
Pakistano
Pakistana
Polinesiano
Polinesiana
Singaporiano
Singaporiana
Venezuelano
Venezuelana
Bengalese
Canadese
Cinese
Danese
Finlandese
Francese
Irlandese
Norvegese
Portoghese
Algerino
Algerina
Argentino
Argentina
Tunisina
Tunisino
Statunitense
Panamense
Cileno
Cilena
Iracheno
Irachena
Greco
Greca
Russo
Russa
Turco
Turca
Afghana
Albanese
Algerina
Algerino
Andorrana
Angolana
Argentina
Argentino
Armena
Armeno
Australiana
Australiano	
Austriaca
Austriaco	
Azera
Bahamense	
Bahreinita
Barbadiana
Belga
Bengalese
Beninese
Bhutanese
Bielorussa
Bielorusso
Birmana
Birmano
Boliviana
Boliviano
Bosniaca
Botswana
Brasiliana
Brasiliano
Britannica
Bruneiana
Bulgara
Burundese
Cambogiana
Cambogiano
Camerunense
Canadese
Capoverdiana
Ceca
Ceco
Centrafricana
Ciadiana
Cilena
Cileno
Cinese
Cingalese
Cipriota
Colombiana
Comoriana
Congolese
Costaricana
Costaricano
Croata
Croato
Cubana
Cubano
Danese
Dominicana
Ecuadoregna
Ecuadoregno
Egiziana
Egiziano
Emiratina
Eritrea
Eritreo
Estone
Etiope
Figiana
Filippina
Finlandese
Francese
Gabonese
Gambiana
Georgiana
Georgiano
Ghanese
Giamaicana
Giamaicano
Giapponese
Gibutiana
Giordana
Greca
Grenadina
Guatemalteca
Guatemalteco
Guineana
Guineano
Guyanese
Haitiana
Indiana
Indiano
Indonesiana
Indonesiano
Irachena
Iracheno
Iraniano
Iraniana
Irlandese
Islandese
Israeliana
Israeliano
Italiana
Italiano
Ivoriana
Kosovara
Kosovaro
Lettone
Libanese
Liberiana
Liberiano
Libica
Libico
Liechtensteiniana
Lituana
Lituano
Lussemburghese
Macedone
Malawiana
Malawiano
Maldiviana
Maldiviano
Malesiano
Malesiana	
Maltese
Marocchina
Marocchino
Messicana
Messicano
Moldava
Moldavo
Mongola
Montenegrina
Montenegrino
Nigeriana
Norvegese
Olandese
Palestinese
Panamense
Paraguaiana
Paraguaiano
Peruviana
Peruviano
Polacca
Polacco
Portoghese
Romena
Romeno
Sanmarinese
Senegalese
Serba
Slovacca
Slovena
Sloveno
Somala
Spagnola
Statunitense
Sudafricana
Sudanese
Svedese
Svizzera
Svizzero	
Tailandese
Taiwanese
Tanzaniana
Tanzaniano
Tedesca
Tedesco
Togolese
Tongana
Tunisina
Tunisino
Turca
Turco
Turkmena
Turkmeno
Ucraina
Ucraino
Ugandese
Ungherese
Uruguaiana
Uruguaiano
Uzbeka
Uzbeko
Venezuelana
Venezuelano
Vietnamita
